id,#ofwords,#ofGPs,APV-BI,APV-Pred,GPGS
talk.politics.guns_54213,61,3366,48,61,1045
talk.politics.mideast_77302,58,4462,62,54,1123
rec.sport.hockey_54104,77,6238,42,44,1513
sci.med_58919,46,2566,32,40,1168
misc.forsale_76245,56,3576,36,47,1406
comp.sys.ibm.pc.hardware_60529,34,5500,39,40,2168
comp.sys.ibm.pc.hardware_60483,70,6821,56,67,2421
sci.electronics_54495,60,6608,77,86,2636
sci.electronics_52820,57,4073,37,43,1773
rec.sport.hockey_53539,66,5995,57,62,1684
sci.electronics_53514,59,4068,34,39,1270
comp.sys.ibm.pc.hardware_58924,67,6115,54,59,1521
comp.sys.ibm.pc.hardware_58927,58,6354,37,46,2383
rec.sport.hockey_53537,66,7658,46,42,1694
alt.atheism_53284,60,3568,29,38,1621
alt.atheism_53282,62,4175,48,57,1263
rec.motorcycles_104975,54,2736,31,39,933
comp.sys.ibm.pc.hardware_60794,68,7687,54,62,2369
sci.space_61555,62,6981,53,60,1625
comp.sys.ibm.pc.hardware_60415,69,11216,44,42,2258
sci.space_61080,60,4636,52,57,2140
alt.atheism_51199,56,7409,70,73,2132
alt.atheism_53303,60,5939,40,42,1290
sci.electronics_53705,75,5806,47,49,1506
rec.motorcycles_103159,76,5826,47,54,1783
rec.sport.hockey_53654,70,4788,47,52,1028
alt.atheism_53309,50,4442,42,52,1750
talk.politics.mideast_75950,50,5139,35,43,1846
misc.forsale_75965,72,3339,51,63,1729
misc.forsale_76824,52,2728,33,37,888
sci.med_58961,72,2307,43,54,867
sci.space_61312,63,4693,47,50,1097
rec.motorcycles_105122,52,4985,43,43,1532
talk.politics.guns_54452,54,3619,26,40,1159
rec.sport.hockey_54194,52,5025,34,37,1655
sci.med_59364,59,4799,57,63,1537
alt.atheism_54160,54,4709,42,49,1593
sci.med_58142,52,3915,35,44,1628
misc.forsale_74754,65,7166,59,58,1890
rec.motorcycles_103128,61,3405,38,40,1278
talk.politics.mideast_76039,58,2811,30,33,1192
rec.motorcycles_104754,53,3793,40,46,1592
talk.politics.mideast_76408,59,6476,45,59,1952
comp.sys.ibm.pc.hardware_60908,50,6522,37,39,1816
talk.politics.guns_53370,59,5048,51,53,1211
talk.politics.guns_55078,60,6468,46,55,2276
sci.electronics_54251,63,5930,68,82,1975
talk.politics.mideast_77399,53,5056,49,57,1190
talk.politics.guns_55075,63,4727,76,85,1575
