id,#ofwords,#ofGPs,APV-BI,APV-Pred,GPGS
politics_057,111,10107,131,131,2687
tech_333,125,12847,203,210,4987
tech_331,142,22275,218,216,5319
politics_054,128,13149,198,195,4252
tech_334,102,9186,159,168,3115
politics_269,81,8872,140,136,3156
tech_339,145,25230,267,277,6089
politics_343,82,6760,156,159,3274
politics_191,100,8836,150,145,3612
tech_036,127,18599,240,249,5333
sport_077,82,10607,111,114,3787
sport_019,73,5290,75,72,2121
business_500,100,6664,125,121,2891
sport_015,81,9624,148,146,3574
business_473,93,8571,109,113,2642
business_470,81,6078,126,123,2793
entertainment_209,99,10707,138,140,4306
business_377,80,6425,124,127,2196
tech_060,144,19173,268,267,6109
entertainment_165,100,10633,128,131,3252
business_373,96,9011,121,119,3224
business_372,73,4408,91,91,1693
entertainment_200,90,8119,101,102,3873
sport_498,73,4962,78,79,2097
business_276,104,11972,160,166,4362
tech_271,144,15945,219,212,4823
politics_291,88,8128,178,176,3714
sport_317,78,6570,118,118,2651
politics_129,119,11749,184,184,4786
tech_341,128,15570,207,212,4787
tech_209,111,8150,127,132,3508
sport_092,68,4902,62,62,1967
politics_123,78,7567,124,121,2983
sport_256,66,4781,56,55,1487
sport_098,67,3558,55,57,1685
sport_319,75,7821,93,97,3327
politics_188,104,11421,139,135,4073
business_144,93,9509,141,140,2765
politics_308,101,8856,112,115,3418
tech_303,148,14532,272,273,5416
tech_345,122,16051,171,169,5243
business_060,81,6467,108,109,2433
business_510,90,6531,115,115,2431
tech_024,135,15850,169,172,4916
politics_108,88,8125,175,174,3576
sport_006,75,6665,87,90,3151
sport_007,72,7122,84,83,2771
business_463,99,9424,149,148,3072
tech_380,153,15757,232,231,5363
tech_237,132,26723,258,264,6330
business_301,93,8120,118,117,2526
entertainment_170,99,13011,175,167,4461
tech_262,109,13476,192,197,4886
entertainment_177,88,8664,105,108,3485
entertainment_174,93,9151,109,106,3779
sport_485,73,5093,80,80,2506
entertainment_065,95,12672,134,142,5020
entertainment_274,88,15728,175,178,6028
entertainment_270,96,7587,115,117,2858
entertainment_272,104,14049,155,150,4601
tech_232,108,7604,123,125,2813
tech_233,157,9738,183,182,3994
sport_084,67,8714,126,128,3229
sport_085,63,7187,83,83,2736
politics_330,123,14279,219,211,4532
sport_249,63,4640,60,62,1728
tech_238,92,17393,155,152,5159
tech_239,112,10701,127,129,4114
politics_381,85,8145,114,119,3335
business_018,84,9682,142,134,3645
tech_252,160,13728,215,214,3859
tech_254,122,16021,237,232,5520
politics_171,132,14596,213,213,5041
business_169,105,13540,198,200,5031
tech_258,128,14945,319,316,6492
business_158,82,6956,141,138,2839
entertainment_060,99,9555,108,107,3230
business_396,75,8513,123,121,3092
business_394,86,6512,124,128,2727
business_496,96,10067,177,173,3453
