id,#ofwords,#ofGPs,APV-BI,APV-Pred,GPGS
livestock_15290,67,18080,167,172,6312
soybean_18177,151,49038,319,314,8606
acq_2219,85,24754,143,151,6198
ship_14957,77,13973,180,181,5013
gold_17264,84,11819,84,79,3463
crude_20778,88,18418,148,146,4228
crude_7097,91,21737,185,188,7189
interest_4458,67,15295,75,78,3189
livestock_3340,56,21984,127,135,6964
acq_7558,88,9035,140,143,4192
crude_18066,79,19691,130,123,5985
crude_20878,87,22458,225,222,7521
gold_7166,42,8133,61,61,2257
ship_8950,89,21297,200,194,8467
ship_857,63,10320,143,149,4090
acq_6819,84,14294,126,123,4422
interest_1976,59,18008,161,163,6577
interest_6483,65,18503,165,171,6128
livestock_17424,72,14009,161,156,4624
gold_14842,59,11504,104,102,3512
acq_9833,81,20053,152,157,6553
livestock_9585,78,17825,196,197,6718
interest_1995,82,26070,238,233,7924
crude_18523,95,34262,218,223,8179
acq_17538,91,20454,120,118,4785
ship_4711,59,13226,143,142,6286
acq_10918,84,20622,173,169,6654
interest_21342,56,11087,96,96,3794
livestock_16519,43,7047,86,84,3189
gold_5564,73,15062,97,95,3169
soybean_8522,134,46555,333,333,10816
crude_5281,88,27895,207,210,9162
acq_12532,91,18720,169,170,5835
livestock_18676,48,22488,100,103,5611
crude_19903,84,16290,95,95,5010
interest_12406,71,19366,152,162,5537
livestock_19555,105,36587,235,220,7588
ship_19092,65,10097,130,133,3603
livestock_4022,94,32639,162,171,6213
acq_840,80,18980,137,139,5241
ship_18865,54,10754,150,149,4931
ship_7119,68,12315,138,134,5543
soybean_10705,93,35014,186,188,7962
livestock_17165,33,6947,80,81,2639
gold_15811,62,15844,110,109,3930
gold_19808,46,7329,62,59,1832
gold_19802,47,7328,80,77,2122
acq_17551,83,16105,104,107,4441
crude_15322,92,21055,165,164,5052
interest_19512,86,28321,200,196,7197
livestock_1372,55,10824,79,83,3091
gold_8857,63,15766,111,118,4617
interest_8168,65,18033,108,107,3830
soybean_6906,67,21620,177,174,6479
livestock_1398,62,12235,134,134,4448
acq_11888,83,13532,145,152,4581
livestock_1393,46,12228,127,131,3838
crude_4713,69,17435,141,138,5150
crude_7611,77,25085,187,191,7582
ship_17117,54,8877,88,93,2832
livestock_4503,88,14679,183,188,4993
gold_21576,37,6894,53,52,1761
interest_7460,52,15072,90,86,3289
interest_18904,90,28987,89,93,4482
crude_17161,97,25879,131,132,5056
crude_18651,95,25736,107,110,4301
livestock_2978,47,14111,107,112,4117
interest_13144,60,8949,102,102,3619
acq_4733,82,16839,128,125,4302
crude_18401,84,16590,119,122,4153
soybean_10172,45,25670,136,131,7327
livestock_3278,101,29289,227,220,8407
interest_11244,96,34122,258,252,7681
acq_8518,80,10551,136,136,4258
soybean_14706,67,17941,152,149,5235
soybean_1394,17,10141,55,52,3703
crude_17093,64,11984,70,68,2790
acq_11101,84,21814,179,187,5655
ship_3473,38,6100,65,68,2381
ship_8214,65,8543,122,128,3333
gold_5526,94,21544,105,103,3448
livestock_15949,67,22767,144,137,5909
ship_3572,56,9971,164,165,4203
crude_3303,90,21988,103,101,5131
interest_6369,82,20988,168,167,6499
acq_3795,80,13023,145,151,4740
soybean_6116,72,15466,161,156,5026
interest_13262,62,16608,95,97,3968
soybean_11939,79,23588,179,181,7296
acq_5739,91,21285,184,191,6637
crude_21492,90,23237,151,149,4874
acq_17513,82,17120,140,139,5759
crude_489,83,29268,197,195,7646
ship_4051,47,9432,103,105,3331
soybean_7356,335,102408,647,639,18900
ship_6652,64,11787,115,113,4238
acq_3775,87,14116,109,119,4499
crude_8959,76,23706,201,200,7502
soybean_18408,233,56453,392,404,9403
soybean_18409,299,82985,669,682,15759
livestock_16236,48,15781,97,101,4648
interest_17448,79,15835,162,165,5915
livestock_5400,60,24758,157,160,7138
gold_5558,69,20691,187,186,7423
gold_5958,38,7140,46,47,1226
ship_3017,61,17770,165,158,6617
soybean_8140,86,25435,162,159,5379
interest_12453,57,13914,101,103,4335
gold_2983,67,11379,133,128,4084
acq_17347,85,15922,169,176,6176
acq_6433,78,22278,180,178,7390
acq_7635,83,13289,152,156,5656
soybean_13915,53,23532,120,119,6132
interest_3002,59,16273,135,139,4721
interest_15816,91,28956,98,102,4815
gold_6872,48,13656,111,106,4291
crude_16077,81,16662,119,118,3695
gold_3625,93,29411,135,134,4790
crude_12286,85,11401,75,73,3078
acq_5293,75,13725,113,109,4082
crude_10011,86,39526,126,117,5779
interest_18520,87,26144,138,150,5712
acq_16233,83,13524,98,91,3796
ship_518,84,14897,210,205,5695
livestock_3339,54,24193,146,155,7616
ship_19238,55,7793,98,98,2852
crude_12609,73,24038,198,195,6194
gold_2785,79,14152,152,148,3839
interest_16383,58,17994,179,177,6443
gold_2782,43,8221,84,84,1937
acq_9087,87,16020,171,170,5268
ship_5330,71,16704,211,205,7079
crude_15520,84,22555,185,190,6579
soybean_1882,76,31264,215,223,6509
crude_6598,75,17998,157,159,6305
gold_10485,58,15106,66,65,2839
acq_1076,85,18633,207,205,7639
ship_6436,66,19811,150,149,5821
acq_11822,72,11696,88,87,4110
gold_3322,50,9734,59,61,1805
crude_6746,87,21538,196,187,6412
crude_19560,85,19353,169,171,5764
gold_3327,50,9869,62,65,2093
interest_7614,85,19332,178,189,5497
soybean_15686,137,45385,311,319,10194
ship_17412,27,4265,53,53,1812
ship_8246,44,5945,69,71,2182
interest_12774,83,19596,150,153,5003
gold_16286,58,12604,85,87,3107
livestock_4833,56,12496,115,114,3819
gold_20699,54,9269,81,82,3517
gold_15803,58,14648,103,101,3293
interest_3122,84,23957,140,139,5049
ship_9314,46,9566,100,100,4138
crude_9849,79,20845,220,224,6822
ship_18372,53,7017,74,75,1923
acq_7693,73,17776,158,165,5518
soybean_10882,64,29342,132,117,6830
acq_16402,93,17641,111,110,5017
crude_17408,84,32910,185,176,7925
interest_18564,65,17187,86,87,3858
ship_16962,64,10037,104,104,2605
acq_21319,93,28930,150,153,6713
livestock_2495,93,19971,196,200,6798
interest_12398,55,14320,118,121,4602
crude_242,82,20702,173,170,6729
soybean_3282,69,31116,119,118,5620
interest_8184,71,18550,130,125,5465
livestock_7962,56,24951,139,144,6860
gold_2762,80,14556,149,146,3631
soybean_12711,50,27522,123,120,6950
gold_7985,53,9134,59,60,2785
gold_17163,57,11425,68,68,2793
gold_2880,47,8190,66,64,1603
gold_10868,46,9134,90,89,2791
crude_1343,90,35101,152,151,6614
interest_12731,57,14681,91,92,4400
ship_2944,42,4747,64,67,1989
soybean_3467,46,21634,104,110,5309
interest_17204,77,17811,167,175,5929
gold_8877,61,12741,71,67,3000
acq_6085,84,19232,182,187,7568
livestock_443,64,12498,136,134,3604
ship_4739,55,9531,99,100,3265
acq_16677,73,18791,159,157,5880
soybean_11984,126,49000,303,303,9445
ship_16076,102,21633,265,255,7770
soybean_15953,89,26301,136,132,6583
crude_19998,93,24053,177,175,6553
ship_19055,80,17446,171,163,5675
ship_9356,37,5368,60,57,1973
livestock_13382,53,19611,116,120,4960
gold_5541,69,19804,197,201,7403
interest_4720,80,20837,121,127,5473
interest_12469,55,14321,119,122,4606
ship_3028,112,21539,171,173,6288
livestock_18373,31,7239,59,58,1842
livestock_20620,69,10898,92,92,3830
soybean_19057,40,19665,142,137,6757
acq_17479,87,14398,139,148,5493
livestock_8744,36,6604,59,57,2315
livestock_4514,77,13037,174,176,4707
crude_8835,87,17072,175,178,5736
ship_19122,37,6450,71,72,2684
soybean_4599,56,30051,125,123,6879
interest_6350,61,12222,118,117,3618
crude_8209,73,17624,96,96,4725
soybean_229,106,26342,148,143,5518
ship_3329,77,14490,130,134,3994
ship_12823,59,11034,138,138,3711
soybean_12757,28,14148,96,91,4723
soybean_69,57,22445,102,102,5450
acq_20039,85,19213,146,145,5409
gold_7023,75,14087,143,149,3886
interest_11314,53,9884,140,138,4598
acq_5379,78,10955,151,149,4860
ship_5734,56,9187,135,137,3955
gold_11627,63,10785,61,58,2111
acq_11386,81,18493,162,167,5712
crude_5123,88,27676,204,211,8992
crude_14732,89,34803,153,153,6569
crude_5125,72,22612,195,199,8087
gold_17622,62,12516,104,106,4305
crude_4569,78,22030,112,114,4037
livestock_121,63,21648,183,180,7617
soybean_4076,48,22872,114,106,6102
livestock_12618,74,20762,190,185,6016
soybean_3453,55,21962,140,138,7087
interest_233,64,13943,76,80,2262
acq_4622,78,7707,130,130,2757
ship_4778,59,10885,151,150,4666
soybean_2382,58,31152,118,123,7504
ship_17403,60,10813,112,121,3161
acq_17782,98,22048,149,147,5686
interest_20532,59,14323,125,125,5478
livestock_9290,53,21213,142,146,7190
crude_12940,69,16164,94,93,3753
soybean_16525,62,27857,126,117,5651
crude_19927,69,19570,111,114,5700
ship_2853,54,8704,81,85,2245
gold_18388,51,8601,65,67,2990
crude_988,86,18334,133,144,5466
gold_13757,77,19125,104,106,2803
livestock_15237,60,17639,164,161,5007
gold_8948,55,8723,70,69,1695
gold_5481,61,8410,87,85,2172
acq_14504,92,17408,130,132,4461
ship_13074,47,8339,76,71,2392
gold_1082,53,10561,87,84,2255
soybean_18544,39,17402,112,104,6598
soybean_18427,144,56771,360,346,13122
ship_20103,60,11839,101,102,3623
interest_2601,66,14026,144,146,5114
ship_3955,93,23405,194,193,6977
acq_7810,79,14659,139,141,5174
gold_16971,55,10707,73,72,2311
soybean_297,98,41714,212,206,8516
ship_17073,54,11989,132,127,4264
